"urun_grubu","urun","baslik","problem_tarifi","cozum","etiketler","link"
"Çözümler","enerji değerlerinin ölçülmesi; gerilimlerin; şebekedeki gerilim yükselmesinden","Hastane Enerji Çözümü","Problem:
Ultrason cihazı çalışırken ve renkli monitörde görüntü alınırken ultrason cihazının arızalanması, ultrason cihazını satan firmanın problemin
şebekedeki gerilim yükselmesinden
kaynaklandığını söylemesi ve her geldiklerinde servis ücreti almaları Teşhis:
Hastanenin ana girişine
Enerji Analizörü
bağlanması ve periyodik aralıklarla
enerji değerlerinin ölçülmesi","Çözüm:
1 adet
Enerji Analizörü
, 1 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Enerji Analizörü
aracılığıyla 1 hafta boyunca 5 dakikalık periyotlarda gerilimler ölçüldü. Ölçülen değerler
Enerji Analizörü
’nün kalıcı hafızasına kaydedildi. Sonuçları içeren Excel raporu hastane yönetimine ve ultrason cihazını satan firmaya sunuldu. Bu raporda
gerilimlerin
söylendiği gibi yükselmediği tespit edildi. Satıcı firma cihazdan kaynaklanan bir sorun olduğunu kabul etti. Ultrason cihazının elektronik kartı değiştirildi ve sorun ortadan kalktı. Sonuç:
Ultrason cihazının 1.000 $ maliyetli elektronik kartı ücretsiz olarak değiştirildi. Regülatör firmasının alınmasını önerdiği yeni regülatörler için istediği 2.500 TL ödenmemiş oldu. Ultrason cihazının bozulması sonucunda iptal edilen hasta randevuları ortadan kaldırılarak hasta mağduriyetleri önlendi.
Akım Harmoniği Nedir? Akım Harmoniklerinin Şebekeye Etkisi Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Aktif Harmonik Filtre Çözümü Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/hastane-enerji-cozumu/"
"Çözümler","Reaktif Güç Kontrol Rölelerinin; haberleşmeli cihazlar; kompanzasyon","Belediye Enerji Çözümü","Problem:
90 bölgeye sahip belediyenin
kompanzasyon
takibinin etkin şekilde yapılamaması Teşhis:
Bilgisayarla haberleşen
Reaktif Güç Kontrol Rölelerinin
sisteme entegre edilmesi ve bunların tek bir merkezden izlenebileceği bir yazılımın kullanılması","Çözüm:
90 adet
Reaktif Güç Kontrol Rölesi
, 90 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.Bilgisayar
haberleşmeli cihazlar
kullanılmadan önce sınırlı sayıdaki teknik ekip tüm bölgeleri gezip arızalara müdahale etmeye çalışıyordu. Bu hem vakit kaybına yol açıyor hem de arızalara anında müdahale etme şansını ortadan kaldırıyordu.
Reaktif Güç Kontrol Rölesi
ve Enerji
İzleme Yazılımı
aracılığıyla tüm bölgelerin enerji parametrelerini merkezdeki bilgisayardan izlemeye ve gerektiği anda rölelerin ayarlarına bilgisayar ortamından müdahale edebilmeye başladılar.
Ayrıca sayaç değerleri ile
Reaktif Güç Kontrol Rölelerinin
değerleri karşılaştırılarak arızalı sayaçları değiştirdiler. Sonuç:
Tüm bu uygulamaların sonucunda 90 bölgenin tamamında etkin
kompanzasyon
yapılmaya başlandı ve teknik servis ekibi daha etkin kullanılabilir hale geldi. Bu sayede işletme giderlerinde ciddi oranda tasarruf sağlanmış oldu.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/belediye-enerji-cozumu/"
"Çözümler","haberleşme yazılımı","Motor Fabrikası Enerji Çözümü","Problem:
İşletmedeki döküm potalarının enerji maliyetine etkisinin ölçülememesi Teşhis:
İşletmeye bilgisayarla haberleşen
Enerji Analizörleri
takılması üretim makinelerinin enerji tüketimlerinin izlenerek enerji değerlerinin kayıt altına alınması","Çözüm:
130 adet
Enerji Analizörü
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. Haberleşme Yazılımı aracılığıyla ölçülen değerleri tek bir noktada kayıt altına alarak izleyebildiler. Trafo çıkışındaki sayacın enerji kayıtları kontrol edildi. Makinelere bağlanan
Enerji Analizörleri
aracılığıyla makine hatlarının çalışma performansları ölçüldü. 56 adet döküm potasının maden eriyinceye kadar geçen zaman ve harcanan enerji kayıt altına alınarak enerji maliyet hesapları yapıldı. Ayrıca erime süreleri kontrol edilerek bazı potaların sağırlaştıkları tespit edildi ve o potaların değiştirilmesi sağlandı. Maden erime sonrası boşaltılan ve rezistans ile sıcak tutulması sağlanan ikinci bölüm potalara bağlı olan Enerji Analizörleri aracılığıyla pota ısıtıcılarının arıza tespiti yapıldı ve enerji maliyetleri hesaplandı. Sonuç:
Makine hatlarının tükettikleri enerji değerleri ölçülerek ve
haberleşme yazılımı
aracılığıyla tek bir noktadan izlenerek enerji maliyeti hesaplandı. Arızalı makineler değiştirilerek üretim performansı arttırıldı.
Enerji Analizörü (Şebeke Analizörü) Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Analizörü (Şebeke Analizörü) Nedir? Enerji Analizörü Nerelerde Kullanılır? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/motor-fabrikasi-enerji-cozumu/"
"Çözümler","Enerji İzleme Yazılımı; Reaktif Güç Kontrol Rölesi; enerji tasarrufu; kompanzasyon; kompanzasyon takibi","Jeotermal Enerji Tesisi Enerji Çözümü","Problem:
Kuyuların çoğunda personel bulunmadığı için
kompanzasyon takibi
yapılamaması Teşhis:
Haberleşme özelliğine sahip
Reaktif Güç Kontrol Rölelerinin
sisteme entegre edilmesi ve bunların tek bir merkezden izlenebileceği bir yazılımın kullanılması","Çözüm:
80 adet
Reaktif Güç Kontrol Rölesi
, 80 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Bilgisayar haberleşmeli cihazlar kullanılmadan önce personel yetersizliğinden dolayı kuyuların
kompanzasyon takibi
yapılamıyordu.
Reaktif Güç Kontrol Rölesi
ve
Enerji İzleme Yazılımı
aracılığıyla tüm kuyuların enerji parametrelerini merkezdeki bilgisayardan izlemeye ve gerektiği anda rölelerin ayarlarına bilgisayar ortamından müdahale edebilmeye başladılar.
Ayrıca cosφ ve güç parametreleri izlenerek pompaların verimliliği de takip edilmeye başlandı. Sonuç:
Tüm bu uygulamaların sonucunda 80 kuyunun tamamında etkin
kompanzasyon
yapılmaya başlandı ve pompaların verimliliği takip edilebilir hale geldi. Bu sayede tesiste %20 oranında
enerji tasarrufu
sağlandı.
Kompanzasyon Doktoru ile Reaktif Bedel Ödeme Riskinizi Ortadan Kaldırın İsimli Blog Yazımızı Okumak İçin Tıklayın
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir?
İsimli Blog Yazımızı Okumak İçin Tıklayın","No labels","https://www.entes.com.tr/jeotermal-enerji-tesisi-enerji-cozumu/"
"Çözümler","Kompanzasyon panolarında; Reaktif güç kontrol rölesi,; aktif (kWh); akım polaritesi; bir fazlı kondansatörleri; enerji verimliliği; faz sırası; kompanzasyon; kompanzasyonu; kondansatör; reaktif bedel; reaktif bedeller; reaktif enerji; reaktif enerji bedelleri; reaktif enerjileri (kVAr); reaktif güç kontrol rölesi; reaktif güçlerin; Üç fazlı; üç fazlı yüklerin","Üniversite Enerji Çözümü","Problem:
Büyük bir metropolde bulunan üniversitenin, birbirinden uzak yerlerde bulunan rektörlük, fakülteler, yüksek okullar, kütüphaneler, spor salonları, lojmanlar gibi 78 ayrı binanın
kompanzasyon
sistemlerindeki hata ve arızalar nedeni ile elektrik faturalarında yüksek
reaktif bedeller
ödemesi. Teşhis:
Yapılan incelemelerde, belirtilen binaların %95'inde fazlardan çekilen akımlar ve
reaktif güçlerin
dengesiz olmasına rağmen, eski teknoloji tek fazlı reaktif güç kontrol rölelerin kullanılmış olduğu görüldü. Sadece dengeli
üç fazlı yüklerin
bulunduğu sistemlerde verimli çalışabilen bu rölelerle, dengesiz yüklerin olduğu üniversite binalarında bu cihazlardan verim alınamadığı anlaşıldı. Bilgisayarla haberleşebilen üç fazlı Reaktif Güç Kontrol Rölelerinin sisteme entegre edilmesine karar verildi.","Çözüm:
78 Adet bina için 78 Adet 3 Fazlı
Reaktif Güç Kontrol Rölesi
, 78 Adet
Gateway (Ağ Geçitleri) ve 1 adet Enerji İzleme Yazılımı kullanıldı. Birbirinden uzak yerlerdeki bu binaların
kompanzasyon cihazları
ve elektrik sayaçlarının endeks takibinin düzenli ve hızlı olarak yapılamadığı görüldü. Bu nedenle
reaktif enerji bedelleri
ancak fatura tahakkuk edip iş işten geçtikten sonra fark edilebilmekteydi. Kullanılan reaktif güç kontrol rölelerinin her türlü
faz sırası
ve
akım polaritesi
hatasında bile doğru
kompanzasyon
yapması özelliği sayesinde bağlantı hatalarından kaynaklanan
kompanzasyon
hataları önlendi.
Kompanzasyon panolarında
zaman içinde sigorta, kontaktör ve
kondansatör
arızaları oluşmaktaydı. Faz sırasındaki değişiklikler düzeltilememekte ve akımlarda oluşan dengesizlikler nedeni ile kompanzasyon düzgün olarak yapılamamaktaydı. Reaktif güç kontrol röleleri aracılığıyla kondansatör güçlerini ölçmesi ve arızalanan kondansatörleri göstermesi özelliği ile sigorta, kontaktör ve kondansatör arızaları zamanında tespit edilmeye başlandı. Sadece üç fazlı kondansatörlerin bulunduğu panolara, reaktif rölelerden yapılan ölçümlerle uygun değerde bir fazlı kondansatörler kullanılarak
kondansatör
dağılımı revize edildi.
Üç fazlı
ve
bir fazlı kondansatörleri
kontrol eden
reaktif güç kontrol rölesi
aracılığıyla dengesiz yüklerin
kompanzasyonu
da hatasız yapıldı.
Reaktif güç kontrol rölesi,
binalar ve tesislerin harcadığı
aktif (kWh)
ve
reaktif enerjileri (kVAr)
ve bu enerjilerin % oranlarını ölçerek, hangi tesislerde
kompanzasyon
oranlarının yükseldiğinin tespit edilmesi özelliği ile enerji tüketimlerinin doğruluğu kontrol edilmiş oldu. En önemlisi
kompanzasyon
oranlarının yükseldiği yerler anında tespit edilebildi. Problemin olduğu yere teknisyen yönlendirilerek arızalar derhal giderildi. Böylece elektrik faturasında
reaktif bedel
ödemekten kurtuldular. Sonuç:
Üniversitenin 78 binasına 1 yılda toplam 945.000 TL olarak gelen elektrik faturaları bir yıl sonra %18 azalarak 775.000 TL'ye düşmüştür. Ayrıca
reaktif enerji
tüketiminin düşürülmesi ile
enerji verimliliği
de sağlanmış oldu.
Enerji Yönetiminin Önemi İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Verimliliği Nedir? Enerji Tasarrufu Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/universite-enerji-cozumu/"
"Çözümler","enerji tüketimleri","Beyaz Eşya Fabrikası Enerji Çözümü","Problem:
Makine bazında enerji maliyet hesabı yapılamadığından ürün başına düşen birim enerji maliyetlerinin hesaplanamaması. Teşhis:
Fırın, klima ve bulaşık makinelerinin üretildiği fabrikalara
Enerji Analizörleri
takılması ve üretim bantlarının enerji tüketimlerinin izlenmesi.","Çözüm:
50 adet
Enerji Analizörü
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Haberleşme Yazılımı
aracılığıyla ölçülen değerleri tek bir noktada kayıt altına alarak izleyebildiler. Üretim bantlarının enerji tüketimleri ölçülerek bu değerler toplam üretim miktarı ile ilişkilendirildi. Bu sayede ürün başına düşen birim enerji maliyeti hesaplanarak satış fiyatları yeniden belirlendi. Sonuç:
Fabrikadaki üretim bantlarının
enerji tüketimleri
tek bir noktadan izlenerek ürün başına düşen birim enerji maliyeti hesaplandı. Böylece satış fiyatları revize edilerek karlılık arttırıldı.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/beyaz-esya-fabrikasi-enerji-cozumu/"
"Çözümler","Dağıtım panosundaki; Enerji İzleme Yazılımı; elektrik sayacı; trafo merkezinin","İçki Fabrikası Enerji Çözümü","Problem:
İşletmenin enerji tüketimlerinin ölçülmesi ve ölçülen değerlerin bilgisayarda kayıt altına alınması ihtiyacı Teşhis:
İşletmeye bilgisayarla haberleşen
Enerji Analizörleri
takılması üretim makinelerinin enerji tüketimlerinin izlenerek enerji değerlerinin kayıt altına alınması","Çözüm:
70 adet
Enerji Analizörü
,
Gateway (Ağ Geçitleri)
1 adet Sinyal Kuvvetlendirici ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. İşletmede bulunan 4
trafo merkezinin
toplam elektrik tüketimlerini ana girişteki
elektrik sayacı
ile karşılaştırarak sayacın doğruluğu kontrol edildi.
Dağıtım panosundaki
ana çıkışların ve makine çıkışlarının enerji tüketimleri izlendi ve enerji değerleri kayıt altına alındı. Tesisin ana bölümlerinin harmonik değerleri incelendi ve bu değerler periyodik olarak izlenerek takip edilmeye başlandı.
Jeneratörlerin devresine ve transfer devresine bağlanan Şebeke Analizörleri aracılığıyla jeneratörlerin performansı ve ürettikleri enerji değerleri izlenerek kayıt altına alındı. Sonuç:
Enerji değerlerinin izlenmesi sonucunda tüketim miktarları net olarak hesaplanabildi ve kayıp enerjiler hesaplanarak işletmenin enerji tasarrufu yapması sağlandı.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/icki-fabrikasi-enerji-cozumu/"
"Çözümler","enerji tüketimi; enerji tüketimleri; enerji verimliliği; enerjiyi; izleme sistemi","Mermer Fabrikası Enerji Çözümü","Problem:
Yüksek miktarda
enerji tüketimi Teşhis:
Fabrikadaki mermer kesme, silme ve dizme makinelerinin fazla enerji harcaması olasılığına karşı tükettikleri
enerjinin ölçülmesi ve bu değerlerin izlenmesi","Çözüm:
23 adet
Enerji Analizörü
,
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. 1 adet
Enerji Analizörü
, toplam gücü ve
enerjiyi
görmek için trafo ana girişine takıldı. Haberleşme için dağıtım panosundan 100 metre uzaklıktaki bilgisayara kablo çekildi. Daha sonra yüksek enerji tüketen makine ve bölümlere takılan 22 adet
Enerji Analizörü
ile haberleşilerek fabrikadaki
enerji tüketimleri
izlenmeye başlandı. Mermer kesme makinelerinin normal yükte çekmeleri gereken 100 A akım yerine 150 A akım çektikleri, aşırı zorlanma sebebiyle bıçakların balanslarının erken bozulduğu ve 1 saatte en az 12,5m2 mermer kesilmesi gerekirken 10 m2 mermer kesildiği tespit edildi. Gerekli ayarlar yapılarak bu sorun giderildi. Bir mermer kesme makinesi (ESTE) 110 kVAgücündedir. Saatte ortalama 80 kWhenerjiharcar. Yani bir ESTE saatte 12,5m2 mermer keserken 80kW enerji tüketir. Bu da 18 TL/saat tüketim bedeline yol açar. Kurulan
izleme sistemi
sayesinde ürün maliyeti hesaplarına
enerji tüketimi
de eklendi ve satış fiyatları revize edildi. Bir işçinin 5 dakika mesai kaybı yılda 26 saatlik işgücü kaybına yol açıyordu. Bu fabrika 26 saatte 2 konteyner ürün çıkarma kapasitesine sahipti ve bu da yaklaşık $ 30.000 değerindeydi. Makinelerin ne zaman çalıştıklarının izlendiğinin bilincinde olan işçiler mesai saatlerine riayet etmeye başladılar. Böylece işgücü kaybı ortadan kaldırıldı. Vardiya yapılması gerektiğinde, fabrikada 3 işçi çalışıyor olsa bile başlarında 1 vardiya mühendisi bulunması gerekmekteydi. Kurulan izleme sistemi sayesinde makinelerin çalışma saatleri ve tükettikleri enerji değerleri uzaktan takip edilebildiğinden dolayı vardiya mühendisine gerek kalmadı. Böylece işletme ayda en az 2.000 TL tasarruf etmiş oldu. Sonuç:
Tüm bu uygulamaların sonucunda aylık
enerji tüketimi
azaldı ve
enerji verimliliği
sağlanmış oldu. Artan makine verimleri ve azalan testere balans maliyeti ile sistem kendisini 6 ayda amorti etti.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/mermer-fabrikasi-enerji-cozumu/"
"Çözümler","Belirsiz","Kimya Hammadde Üretim Tesisi Enerji Çözümü","Problem:
Oluşan akım harmoniklerinden dolayı sisteme sonradan dahil edilen kompresörlerin çalışmaması Teşhis:
Müşterimiz, kimya hammadde üretimi yapmaktadır ve yeni satın aldığı 2 adet kompresörü devreye aldığında sistemde aşırı derecede akım harmonik oluşumu tarafımızca yapılan ölçümlerle tespit edilmiştir. 400 kW gücünde olan kompresörler devreye alındığında akım harmonik seviyeleri %48 olarak ölçülmüştür. Bu durum, cihazların korumaya geçerek kapanmasına neden olmaktadır ve tesis üretiminde aksaklıklara neden olmaktadır.","Çözüm:
Müşterimize çözüm sunmak amacıyla, demo olarak 120A Entes Aktif Harmonik Filtre kurulumu gerçekleştirilmiş ve 2 hafta boyunca sistem test edilmiştir. Bu demo süreci, müşterinin şikayetlerinin tamamen ortadan kalktığını göstermiştir. Bunun üzerine, müşterimiz saha sağlıklı sonuç vermesi için 180A Aktif Harmonik Filtre sistemi satın almıştır.
18.05.2023 tarihinde müşterimizin üretim tesisine gidilerek, soğutması ayarlanmış bir pano ve daha önce kurulan iki modülün yanı sıra ekstra bir modül ile 180A Aktif Harmonik Filtre kurulumu tamamlanmıştır. “Sistem incelendiğinde, Aktif Harmonik Filtrelerin olmadığı durumda
akım harmoniklerinin
%48 seviyelerine kadar çıktığı gözlemlenmiş olup kurulum sonrasında bu değerin %4 seviyesinde olduğu gözlemlenmiştir.
Bu sayede sistem, harmonik sorunları minimum düzeye indirerek aktif olarak çalışmaktadır.
Kurulum sonrasında üretim tesisinde ilgili yetkililere bakım ayarları ve cihaz hakkında bilgi verilmiştir.
Ayrıca demo sürecindeki deneyimi sorulmuştur ve son kullanıcı olarak
Aktif Harmonik Filtre
cihazların oldukça kullanıcı dostu olduğu ve arayüzünün anlaşılır olduğu geribildiriminde bulunmuştur. Sonuç:
Yapılan kurulum sonrasında elde edilen ölçüm sonuçları akım harmonik seviyesinin %4 seviyesinde olduğunu göstermiştir. Bu düşüş sonrasında kompresörler sorunsuz çalışmaktadır.","No labels","https://www.entes.com.tr/kimya-hammadde-uretim-tesisi-enerji-cozumu/"
"Çözümler","enerji tüketimleri; enerji verimliliği ve tasarrufu; harmonik kirliliği","Dokuma Fabrikası Enerji Çözümü","Problem:
Makine bazında maliyet hesabını mekanik sayaçlarla yapıyorlardı ve ortamda
harmonik kirliliği
vardı. Ölçü değerleri doğru değildi ve hesap yapılırken işçilik yüzünden işletme giderleri artıyordu. Teşhis:
Makinelere
Enerji ve Güç Ölçerlerin
bağlanması, dağıtım panolarına
Enerji Analizörlerinin
takılması ve haberleşme yazılımı kullanılarak tüm değerlerin tek bir noktadan izlenebilmesi","Çözüm:
135 adet makine için 135 adet
Enerji ve Güç Ölçer
, 15 adet dağıtım panosu için 15 adet
Enerji Analizörü
, 7 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Haberleşme Yazılımı
aracılığıyla ölçülen değerleri tek bir noktada kayıt altına alarak izleyebildiler. Ücretlendirme raporundan yola çıkarak 32 adet jakarlı dokuma makinesinin elektrik tüketiminin üretilen ürüne göre istenilen değerin üzerinde olduğu tespit edildi. Bu makinelerin T3 tarifesindeyken çalıştırılmasına karar verilerek ciddi miktarda tasarruf sağlandı.
Enerji İzleme Yazılımının güç-zaman parametre eğrisinden yararlanılarak makinelerin hangi dakikalarda kapatılması gerekirken boşa çalıştıkları veya çalıştırılmaları gerekirken çalıştırılmadıkları zaman dilimleri anlaşıldı. Bu sonuçlara göre makinelerin çalışma ve durma zamanları tekrar belirlenerek makine disiplini sağlanmış oldu. Bu sayede iş ve işçi disiplini de sağlandı. Sonuç:
Fabrikadaki makinelerin
enerji tüketimleri
tek bir noktadan izlenerek gerçek tüketim değerlerine ulaşıldı ve buna göre revizyonlar yapılarak
enerji verimliliği ve tasarrufu
sağlandı. Ayrıca bu değerlere ulaşmak için ilave bir ekibe gerek olmadığı anlaşıldığından işletme giderlerinden de tasarruf edildi.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/dokuma-fabrikasi-enerji-cozumu/"
"Çözümler","Reaktif Güç Kontrol Rölesi; akım trafosu; enerji bedelinin; enerji ölçümü; fazlara; kondansatör; primer değeri; reaktif cezaya; röle; röleye; tasarruf","Zincir Mağaza Enerji Çözümü","Problem:
58 şubesi olan mağaza zincirinin her ay
reaktif cezaya
girmesi. Teşhis:
Yüklerin
fazlara
eşit ağırlıkta dağıtılmaması, yanlış
akım trafosu
seçimi, yanlış
kondansatör
seçimi,
Reaktif Güç Kontrol Rölesi
seçimindeki hata, diğer hatalı uygulamalar.","Çözüm:
58 adet
Reaktif Güç Rölesi
, 58 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Bodrum/Muğla bölgesindeki AVM'de faturalara trafo kaybı için %10 ilave ediliyordu.
Reaktif Güç Rölesi
kullanılarak
reaktif cezaya
girmeleri önlendi ve ayrıca %10 trafo kaybı bedelini ödemeye de gerek kalmadı.
Bu mağazada ayda 20.000 TL
tasarruf
sağlanmış oldu. İzmir'de faaliyet gösteren AVM'deki mağazada herhangi bir teknik hataya rastlanılmadı. İnceleme sonucunda AVM yönetiminin faturaya %5 ilave yaptığı ortaya çıktı ancak sözleşmede böyle bir madde yoktu.
Reaktif Güç Rölesi
'nin yaptığı
enerji ölçümü
ile durumun ortaya çıkarılması sayesinde fazladan %5 fatura bedeli ödenmesine gerek kalmadı. AVM yönetimi mağazaya geriye dönük olarak iade faturası kesti ve 14.000 TL geri ödeme yapıldı. Ankara'daki AVM'de kullanılan farklı markaya ait
röleye
akım trafosu
girişlerinin ters yapıldığı anlaşıldı. Bu
röle
çıkartılarak yerine
akım trafosu
ters bağlansa bile bunu algılayarak kendi içinde düzeltme özelliğine sahip olan
Reaktif Güç Rölesi
takıldı ve sorun giderildi.
İstanbul'daki AVM'de faturaların 2 ile çarpıldığı ortaya çıktı, çünkü
akım trafosunun
primer değeri
80 iken 160 olarak işlem yapıldığı anlaşıldı. AVM yönetimi hatayı kabul etti ve mağazaya 56.000 TL+ KDV bedelinde iade faturası kesilerek geri ödeme yapıldı. Sonuç:
Tüm bu uygulamaların sonucunda 58 mağazanın tamamı
reaktif cezaya
girmekten kurtuldu ve mağaza zinciri aylık ödediği toplam
enerji bedelinin
%13'ü kadar
tasarruf
etti. Sisteme entegre edilen cihazlar ise kendilerini 1 ayda amorti ettiler.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Reaktif Ceza Nedir? Nasıl Engellenir? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/zincir-magaza-enerji-cozumu/"
